Signal,IC_1m_mean,IC_3m_mean,IC_6m_mean,IC_1m_std,IC_3m_std,IC_6m_std,IC_avg
XFIN,0.0299309037576367,0.0330912662527698,0.03642071518736074,0.06413134722110597,0.06465098850568406,0.06124824293219997,0.033147628399255745
TrendFactor,0.04010738019276416,0.03416255382400243,0.029684005425286132,0.10703796386893537,0.10447498614528566,0.10271769181211707,0.034651313147350905
NetEquityFinance,0.039728673531914505,0.030166028540607372,0.02545695836922709,0.09379581397103447,0.09924971122772307,0.09532434632969297,0.03178388681391633
TotalAccruals,-0.009714530180833836,0.0018135838353780115,0.013516293139157202,0.053613343966934325,0.05494302751491802,0.055282337618230204,0.0018717822645671258
grcapx,0.0013493954938317177,0.008006164876612746,0.016616923099587264,0.04977359099420684,0.05437409589854042,0.05403032984184967,0.008657494490010575
RDS,-0.012735675222690028,-0.0024352076322482147,0.006979777451753202,0.062408865302847776,0.06567514620693647,0.06534328096255324,-0.0027303684677283464
MomOffSeason06YrPlus,0.013580648573069568,0.017422161879599437,0.021557994551965217,0.06398332122363182,0.06814942814373498,0.06766521027280091,0.017520268334878075
roaq,0.0474201734310003,0.038367942728793965,0.027038542561771992,0.09420906663466913,0.10105752109380275,0.09679870247301414,0.03760888624052208
NetDebtFinance,0.004519106592757165,0.012129333574758773,0.017585033971004572,0.03634605910131599,0.04152003882176102,0.04515060719421737,0.011411158046173505
InvGrowth,0.0038085248684919504,0.013098870209847608,0.020966142040875237,0.054822946160371325,0.05851243945475983,0.05915813893361934,0.012624512373071599
InvestPPEInv,0.0008091646670118763,0.012348670233618306,0.023591341818756734,0.05534046902638417,0.061300454507116735,0.06263278049712298,0.012249725573128973
hire,-0.0009327619036773946,0.006416772834936965,0.015436354314115795,0.05984345608890899,0.06584991481898221,0.06363886552205135,0.0069734550817917886
DelDRC,0.02266805664908812,0.03710698236267255,0.045680793871771014,0.11201301361457978,0.13246431065592587,0.1537835577247317,0.03515194429451056
retConglomerate,0.02406484328226602,0.021655932681266938,0.017414383025227517,0.09376735548727914,0.09280017755387789,0.09361965317969152,0.02104505299625349
CustomerMomentum,0.018365531300718375,0.018659808902856893,0.023886205394836813,0.11156841091326375,0.10836036378076495,0.11551759626465727,0.020303848532804026
MomSeason16YrPlus,0.01876614878355352,0.009095403278459818,0.003867808188844898,0.055278987812535735,0.057103930545049614,0.05692954704409379,0.010576453416952744
IndMom,0.0076866489862433855,0.010018375613891344,0.01741827706660547,0.08926909993860926,0.09560639011862514,0.08883117835067107,0.011707767222246734
betaVIX,0.006100406917123646,0.0035883626787914977,0.0012246290392842905,0.0515653966754385,0.043709715534402206,0.04260826353852874,0.0036377995450664782
IntanEP,0.00875745231415975,0.015358724620502855,0.023497057809165008,0.09740269383290219,0.10240599589208502,0.10044810658090857,0.01587107824794254
DelLTI,-0.0005239152528656734,0.0043978553153440035,0.00980798313230658,0.030240941999539663,0.033212176822601934,0.035708430830126175,0.004560641064928303
