coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
-4.198823512344049e-07,0.9999995801177369,7.582996421020535e-07,-1.9061223392440426e-06,1.0663576367752326e-06,0.9999980938794775,1.0000010663582053,0.0,-0.5537156130925568,0.5797734883374968,0.786438730992203
7.331343155119591e-05,1.0000733161190465,4.087738992605305e-05,-6.8047804858684916e-06,0.0001534316435882603,0.9999931952426666,1.0001534434148247,0.0,1.7934959077333328,0.07289366440065967,3.778062762533308
-1.3060624250875832,0.2708845875297213,1.0270655964010371,-3.3190740037937667,0.7069491536186003,0.03618632464384645,2.0277953200098033,0.0,-1.2716446054314203,0.20349942069267563,2.2969034073491255
-0.20439171832181982,0.8151430021911713,0.11109687306675112,-0.42213758832766995,0.013354151684030313,0.655643824249983,1.013443716611433,0.0,-1.8397612163126653,0.06580330171918064,3.925696215929956
0.6430791854631301,1.902329495525554,0.9747983027458731,-1.2674903801095532,2.5536487510358135,0.2815372875082689,12.853919072585441,0.0,0.6597048678189779,0.5094432422553691,0.9730066721036343
0.3061829855001211,1.3582308203559301,0.1705248450468376,-0.028039569260954023,0.6404055402611961,0.9723498908734494,1.8972501346275576,0.0,1.7955329935413378,0.07256882090500516,3.784506360390563
0.032087400140258876,1.032607751423606,0.01814520615383334,-0.003476550413309021,0.06765135069382677,0.9965294857909968,1.0699921914039054,0.0,1.7683679021458856,0.07699941895651993,3.6990086306127705
-1.6385619594299566e-05,0.9999836145146492,1.3468529212218968e-05,-4.2783451774974364e-05,1.0012212586375236e-05,0.9999572174634238,1.0000100122627087,0.0,-1.2165856669363826,0.22376189881384181,2.1599636933896065
3.429390463747491,30.857828051268243,1.2421803829959364,0.994761650773285,5.864019276721697,2.7040797491463007,352.1366381084936,0.0,2.760782983447509,0.005766297857042201,7.43813892376076
2.2915753907595824,9.890506827271974,0.6628134518675542,0.9924848966305035,3.5906658848886615,2.697930227505849,36.25821168501714,0.0,3.457345930899262,0.0005455240784820642,10.840069503550485
1.0352324389225565,2.8157606519373193,0.8721398363735272,-0.6741302298522127,2.7445951076973256,0.5095994623070399,15.558313215451262,0.0,1.1870028127911114,0.23522651101815717,2.0878774277444343
-0.04537840817068141,0.9556357930121419,0.011199750496335766,-0.0673295157793341,-0.023427300562028713,0.9348870905276531,0.9768449881691167,0.0,-4.051733847600258,5.083947850048046e-05,14.26369124284747
0.4017616164341219,1.4944550366894855,0.25577068532392705,-0.09953971510190252,0.9030629479701463,0.9052539968998402,2.4671482968704095,0.0,1.570788364293199,0.11623181569992345,3.104923068572951
-0.15466835756058944,0.8566992482045722,0.12465315612007816,-0.3989840541151912,0.08964733899401237,0.6710014009791848,1.0937884791347057,0.0,-1.2407897431140669,0.2146834312714262,2.2197172429777483
2.5459236637182503,12.755003981148308,0.9135118280974666,0.7554733811958709,4.33637394624063,2.1286189330681675,76.42989735349646,0.0,2.7869629986297393,0.005320455359390617,7.554234558367756
-1.1588042865080432,0.31386124472839233,0.24793187965895705,-1.6447418412589179,-0.6728667317571686,0.19306239710629053,0.5102437471975535,0.0,-4.673881745671584,2.9555955317054024e-06,18.368119716730558
0.45142377334211686,1.5705466969134148,0.22984803355915495,0.0009299056488194513,0.9019176410354143,1.000930338145127,2.4643242723131418,0.0,1.9640097256952862,0.049528964048608924,4.335583744000552
-0.2352018474660484,0.7904112910097995,0.22445664891203712,-0.6751287954241927,0.20472510049209583,0.5090908478132052,1.227187665304504,0.0,-1.0478720439162497,0.29469756402554115,1.762692959714884
-0.009080786403460484,0.9909603194188956,0.12377303817702323,-0.25167148348752716,0.2335099106806062,0.7775001177455579,1.2630253452696794,0.0,-0.07336643373391967,0.9415145275876144,0.08694473906335677
-3.564739230837153,0.028304365427591672,2.265008845082239,-8.004074991863005,0.8745965301886991,0.0003340984019161744,2.3979076154325716,0.0,-1.5738301590198525,0.11552671967537884,3.113701529956162
0.4172940870886173,1.5178488270467665,0.07693098371204089,0.26651212971777966,0.568076044459455,1.305403423414422,1.7648682548581343,0.0,5.424265581349954,5.8193304754834134e-08,24.034571581096458
1.2929042565234663,3.6433524353914755,0.573141032003636,0.1695684757342213,2.4162400373127113,1.1847934738585029,11.203654697087131,0.0,2.2558221874354727,0.024081769226860693,5.375914802616702
